id_contrat,date_ouverture,date_cloture,type_offre,type_client,etat_ticket,sujet,type_incident,indisponibilité,dérangement,facturation,internet_fixe,id_client	,MOIS,Annee
contrat_11,07-18-21,44396.43142,ADSL,Résidentiel,Clôturé,"Wifi > Changement paramètre (SSID, mot de passe, channel,…)",T,FALSE,TRUE,,TRUE,173158,7,2025
contrat_12,09-10-21,44451.41645,ADSL,Pro,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_13,09-15-21,44454.66578,ADSL,Résidentiel,Clôturé,Résiliation : Suivi de la résiliation,NT,,,FALSE,TRUE,321247,7,2025
contrat_13,11-09-21,44509.58397,VDSL,Résidentiel,Clôturé,Financier: Arrêt contrat,T,,,FALSE,TRUE,321247,7,2025
contrat_13,09-23-21,44509.36854,VDSL,Résidentiel,Clôturé,Partenariat: Modem : Retour & paiement restant dû,T,,,FALSE,TRUE,321247,7,2025
contrat_13,11-06-21,44508.3588,VDSL,Résidentiel,Clôturé,Partenariat: Suivi demande,T,,,FALSE,TRUE,222482,7,2025
contrat_13,09-02-21,44550.45634,VDSL,Résidentiel,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,264311,7,2025
contrat_13,09-02-21,44441.55711,VDSL,Résidentiel,Clôturé,Gratuité: Geste commercial Rétention,NT,,,FALSE,TRUE,173158,7,2025
contrat_19,12-16-21,44548.4114,VDSL,Pro,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,321247,7,2025
contrat_19,12-15-21,44627.43881,VDSL,Pro,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,321247,7,2025
contrat_111,07-08-21,44385.53921,VDSL,Pro,Clôturé,Pas de synchro > Problème Tonalité,T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_112,11-28-21,44528.71278,ADSL,Pro,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_113,12-01-21,44531.47332,ADSL,Pro,Clôturé,Pas de synchro > Problème de paiement facture TT,T,,,TRUE,TRUE,173158,7,2025
contrat_114,07-06-21,44383.50404,ADSL,Pro,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,173158,7,2025
contrat_115,07-09-21,44386.62766,ADSL,Pro,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,321247,7,2025
contrat_116,12-07-21,44634.86594,ADSL,Pro,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,222482,7,2025
contrat_117,10-17-21,44578.42593,ADSL,Pro,Clôturé,Pas de synchro >(Autres),T,TRUE,TRUE,,TRUE,264311,7,2025
contrat_118,07-07-21,44443.32084,ADSL,Résidentiel,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,173158,7,2025
contrat_118,07-07-21,44452.37991,ADSL,Résidentiel,Clôturé,Gratuité: Geste commercial Rétention,NT,,,FALSE,TRUE,321247,7,2025
contrat_120,09-22-21,44461.70152,ADSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_121,08-03-21,44411.49264,ADSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème côté TT,T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_122,10-28-21,44578.43125,ADSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,173158,7,2025
contrat_123,07-27-21,44404.44657,ADSL,Résidentiel,Clôturé,Partenariat: Réactivation contrat,NT,,,FALSE,TRUE,321247,7,2025
contrat_124,07-30-21,44407.44086,ADSL,Résidentiel,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,321247,7,2025
contrat_125,08-27-21,44435.77271,ADSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_125,11-22-21,44522.45529,ADSL,Résidentiel,Clôturé,Lenteur >(Autres),T,FALSE,TRUE,,TRUE,321247,7,2025
contrat_127,10-29-21,44498.34487,ADSL,Résidentiel,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,T,,,FALSE,TRUE,222482,7,2025
contrat_127,12-30-21,44589.5711,ADSL,Résidentiel,Clôturé,Résiliation : Réception de la demande,T,,,FALSE,TRUE,264311,7,2025
contrat_129,12-13-21,44544.42618,ADSL,Pro,Clôturé,Financier: Arrêt contrat,T,,,FALSE,TRUE,173158,7,2025
contrat_129,12-02-21,44550.56105,ADSL,Pro,Clôturé,Résiliation: Demande de Résiliation,T,,,FALSE,TRUE,321247,7,2025
contrat_131,10-04-21,44473.51641,ADSL,Pro,Clôturé,Pas de synchro > Problème Tonalité,T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_132,08-09-21,44417.40865,ADSL,Pro,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,321247,7,2025
contrat_132,08-09-21,44420.33816,ADSL,Pro,Clôturé,Partenariat: Réactivation contrat,NT,,,FALSE,TRUE,321247,7,2025
contrat_134,09-22-21,44461.59531,ADSL,Pro,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,T,,,FALSE,TRUE,173158,7,2025
contrat_134,11-02-21,44502.84919,ADSL,Résidentiel,Clôturé,Pas de synchro > Problème Tonalité,T,TRUE,TRUE,,TRUE,173158,7,2025
contrat_136,09-09-21,44578.40995,ADSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_137,10-01-21,44470.65179,ADSL,Résidentiel,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,222482,7,2025
contrat_137,09-27-21,44470.40063,ADSL,Résidentiel,Clôturé,Partenariat: Modem : Retour & paiement restant dû,NT,,,FALSE,TRUE,264311,7,2025
contrat_137,09-27-21,44550.46208,ADSL,Résidentiel,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,173158,7,2025
contrat_140,12-15-21,44545.46465,ADSL,Pro,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_141,11-28-21,44528.46122,ADSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_142,10-20-21,44578.4265,ADSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,321247,7,2025
contrat_143,11-23-21,44676.40863,ADSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_144,10-02-21,44471.4791,ADSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_144,07-30-21,44407.39956,ADSL,Résidentiel,Clôturé,Déconnexion > Sans perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_146,08-19-21,44427.54521,ADSL,Résidentiel,Clôturé,Pas de synchro > Problème de paiement facture TT,NT,,,TRUE,TRUE,,7,2025
contrat_147,09-25-21,44840.5574,ADSL,Résidentiel,Clôturé,Partenariat: Suivi demande,NT,,,FALSE,TRUE,,7,2025
